title,plot
Courage Under Fire (1996),"b'Courage Under Fire. The pilot of a rescue copter, Captain Karen Walden, died shortly before her helicopter crew was rescued after it crashed in Desert Storm. It first appears that she made a spectacular rescue of a downed helicopter crew, then held her own crew together to fight off the Iraqis after her copter crashed. Lt. Colonel Serling, who is struggling with his own demons from Desert Storm, is assigned to investigate her worthiness for the Medal of Honor. But some conflicting accounts, from her crew and soldiers in the area, cause him to question whether she deserves it.'"
Dragonheart (1996),"b'Dragonheart. The young, sickly King Einon was wounded in a battle. In order for him to survive, he is healed by Draco, a dragon. Some years later, Bowen, a dragon slayer, encounters Draco. The two team up to form a traveling duo that perform an act, but the act is only known by themselves. Bowen supposedly ""slays"" Draco and then collects a reward from the town or village that he protects by killing the dragon who had been ""terrorizing"" them. From there, Bowen and Draco must save the entire kingdom from the rule of the now evil King Einon, who is part of Draco and Draco a part of him.'"
James and the Giant Peach (1996),"b""James and the Giant Peach. James' happy life at the English seaside is rudely ended when his parents are killed by a rhinoceros and he goes to live with his two horrid aunts. Daringly saving the life of a spider he comes into possession of magic boiled crocodile tongues, after which an enormous peach starts to grow in the garden. Venturing inside he meets not only the spider but a number of new friends including a ladybug and a centipede who help him with his plan to try and get to New York."""
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"b'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb. Paranoid Brigadier General Jack D. Ripper of Burpelson Air Force Base, believing that fluoridation of the American water supply is a Soviet plot to poison the U.S. populace, is able to deploy through a back door mechanism a nuclear attack on the Soviet Union without the knowledge of his superiors, including the Chair of the Joint Chiefs of Staff, General Buck Turgidson, and President Merkin Muffley. Only Ripper knows the code to recall the B-52 bombers and he has shut down communication in and out of Burpelson as a measure to protect this attack. Ripper\'s executive officer, RAF Group Captain Lionel Mandrake (on exchange from Britain), who is being held at Burpelson by Ripper, believes he knows the recall codes if he can only get a message to the outside world. Meanwhile at the Pentagon War Room, key persons including Muffley, Turgidson and nuclear scientist and adviser, a former Nazi named Dr. Strangelove, are discussing measures to stop the attack or mitigate its blow-up into an all out nuclear war with the Soviets. Against Turgidson\'s wishes, Muffley brings Soviet Ambassador Alexi de Sadesky into the War Room, and get his boss, Soviet Premier Dimitri Kisov, on the hot line to inform him of what\'s going on. The Americans in the War Room are dismayed to learn that the Soviets have an as yet unannounced Doomsday Device to detonate if any of their key targets are hit. As Ripper, Mandrake and those in the War Room try and work the situation to their end goal, Major T.J. ""King"" Kong, one of the B-52 bomber pilots, is working on his own agenda of deploying his bomb where ever he can on enemy soil if he can\'t make it to his intended target.'"
Trainspotting (1996),"b""Trainspotting. A wild, freeform, Rabelaisian trip through the darkest recesses of Edinburgh low-life, focusing on Mark Renton and his attempt to give up his heroin habit, and how the latter affects his relationship with family and friends: Sean Connery wannabe Sick Boy, dimbulb Spud, psycho Begbie, 14-year-old girlfriend Diane, and clean-cut athlete Tommy, who's never touched drugs but can't help being curious about them..."""
"First Wives Club, The (1996)","b'First Wives Club, The. '"
Matilda (1996),"b'Matilda. Matilda Wormwood is an exquisite and intelligent little girl. Unfortunately, Matilda is misunderstood by her family because she is very different from their ways of life. As time passes, Matilda finally starts school that has a kindly teacher, loyal friends and a sadistic principal. As she gets fed up with the constant cruelty, Matilda begins to realize that she has a gift of telekinetic powers. After some days of practice, Matilda suddenly turns the tables to stand up to her parents and outwit the principal.'"
"Philadelphia Story, The (1940)","b'Philadelphia Story, The. '"
Vertigo (1958),"b'Vertigo. John ""Scottie"" Ferguson is a retired San Francisco police detective who suffers from acrophobia and Madeleine is the lady who leads him to high places. A wealthy shipbuilder who is an acquaintance from college days approaches Scottie and asks him to follow his beautiful wife, Madeleine. He fears she is going insane, maybe even contemplating suicide, he believes she is possessed by a dead ancestor. Scottie is skeptical, but agrees after he sees the beautiful Madeleine.'"
North by Northwest (1959),"b""North by Northwest. Madison Avenue advertising man Roger Thornhill finds himself thrust into the world of spies when he is mistaken for a man by the name of George Kaplan. Foreign spy Philip Vandamm and his henchman Leonard try to eliminate him but when Thornhill tries to make sense of the case, he is framed for murder. Now on the run from the police, he manages to board the 20th Century Limited bound for Chicago where he meets a beautiful blond, Eve Kendall, who helps him to evade the authorities. His world is turned upside down yet again when he learns that Eve isn't the innocent bystander he thought she was. Not all is as it seems however, leading to a dramatic rescue and escape at the top of Mt. Rushmore."""
"Apartment, The (1960)","b'Apartment, The. A search by two girls from Kansas, for an ""Affordable Apartment"" in Astoria, Queens, turns into \'The Apartment from Hell\'.'"
Some Like It Hot (1959),"b""Some Like It Hot. When two Chicago musicians, Joe and Jerry, witness the the St. Valentine's Day massacre, they want to get out of town and get away from the gangster responsible, Spats Colombo. They're desperate to get a gig out of town but the only job they know of is in an all-girl band heading to Florida. They show up at the train station as Josephine and Daphne, the replacement saxophone and bass players. They certainly enjoy being around the girls, especially Sugar Kane Kowalczyk who sings and plays the ukulele. Joe in particular sets out to woo her while Jerry/Daphne is wooed by a millionaire, Osgood Fielding III. Mayhem ensues as the two men try to keep their true identities hidden and Spats Colombo and his crew show up for a meeting with several other crime lords."""
